target_idx,seed,algorithm,fidelity,gate_count
0,42,EA,0.37944268331040254,5
0,42,SA,0.5215376235278051,39
1,43,EA,0.3359216770410098,4
1,43,SA,0.517331408922354,16
2,44,EA,0.34833823164897426,2
2,44,SA,0.6252152091201021,33
3,45,EA,0.3173080931827073,4
3,45,SA,0.37619111999829463,8
4,46,EA,0.3876276211375532,4
4,46,SA,0.5475048523443536,8
5,47,EA,0.42148889266720796,5
5,47,SA,0.292776147130088,4
6,48,EA,0.4335492752813401,8
6,48,SA,0.6961271418411645,10
7,49,EA,0.2998272812942358,4
7,49,SA,0.5808341852591077,5
8,50,EA,0.6006324675673231,6
8,50,SA,0.6579782087767554,17
9,51,EA,0.5330023060443146,5
9,51,SA,0.5936031483547866,8
