target_idx,seed,algorithm,fidelity,gate_count
0,42,EA,0.39587178120843414,5
0,42,SA,0.4084922097801521,11
1,43,EA,0.49475422785964385,4
1,43,SA,0.27937866065651057,2
2,44,EA,0.39462014241442267,4
2,44,SA,0.4364507524917875,3
3,45,EA,0.48562264185163545,4
3,45,SA,0.31998233252767416,10
4,46,EA,0.44290513685546556,6
4,46,SA,0.4054613270174183,6
5,47,EA,0.32474813462878216,3
5,47,SA,0.3681776336030638,4
6,48,EA,0.5293769027786475,6
6,48,SA,0.620714433091752,8
7,49,EA,0.5586805484474696,7
7,49,SA,0.4538350821778043,5
8,50,EA,0.6325791587591332,6
8,50,SA,0.5436771383380175,12
9,51,EA,0.4226934635492761,4
9,51,SA,0.2986113829104671,5
10,52,EA,0.5947955317054745,7
10,52,SA,0.37599015563070476,11
11,53,EA,0.6246245317419411,4
11,53,SA,0.5437127260629383,4
12,54,EA,0.6537705710967927,5
12,54,SA,0.3776758682734765,3
13,55,EA,0.37712309227373597,4
13,55,SA,0.3953251203206314,11
14,56,EA,0.4773560214722137,4
14,56,SA,0.25032134998254996,5
15,57,EA,0.5212894270447332,7
15,57,SA,0.5170044749032036,5
16,58,EA,0.32667249280209465,3
16,58,SA,0.3562258234686006,3
17,59,EA,0.2601013318927921,4
17,59,SA,0.1902265597329119,2
18,60,EA,0.27674455433177825,5
18,60,SA,0.2516338995539016,5
19,61,EA,0.43697128735295465,5
19,61,SA,0.29275520675349787,6
