beta,target_idx,seed,algorithm,fidelity,gate_count
0.01,0,42,EA,0.39587178120843414,5
0.01,0,42,SA,0.4084922097801521,11
0.01,1,43,EA,0.49475422785964385,4
0.01,1,43,SA,0.27937866065651057,2
0.01,2,44,EA,0.39462014241442267,4
0.01,2,44,SA,0.4364507524917875,3
0.01,3,45,EA,0.48562264185163545,4
0.01,3,45,SA,0.31998233252767416,10
0.01,4,46,EA,0.44290513685546556,6
0.01,4,46,SA,0.4054613270174183,6
0.01,5,47,EA,0.32474813462878216,3
0.01,5,47,SA,0.3681776336030638,4
0.01,6,48,EA,0.5293769027786475,6
0.01,6,48,SA,0.620714433091752,8
0.01,7,49,EA,0.5586805484474696,7
0.01,7,49,SA,0.4538350821778043,5
0.01,8,50,EA,0.6325791587591332,6
0.01,8,50,SA,0.5436771383380175,12
0.01,9,51,EA,0.4226934635492761,4
0.01,9,51,SA,0.2986113829104671,5
0.01,10,52,EA,0.5947955317054745,7
0.01,10,52,SA,0.37599015563070476,11
0.01,11,53,EA,0.6246245317419411,4
0.01,11,53,SA,0.5437127260629383,4
0.01,12,54,EA,0.6537705710967927,5
0.01,12,54,SA,0.3776758682734765,3
0.01,13,55,EA,0.37712309227373597,4
0.01,13,55,SA,0.3953251203206314,11
0.01,14,56,EA,0.4773560214722137,4
0.01,14,56,SA,0.25032134998254996,5
0.01,15,57,EA,0.5212894270447332,7
0.01,15,57,SA,0.5170044749032036,5
0.01,16,58,EA,0.32667249280209465,3
0.01,16,58,SA,0.3562258234686006,3
0.01,17,59,EA,0.2601013318927921,4
0.01,17,59,SA,0.1902265597329119,2
0.01,18,60,EA,0.27674455433177825,5
0.01,18,60,SA,0.2516338995539016,5
0.01,19,61,EA,0.43697128735295465,5
0.01,19,61,SA,0.29275520675349787,6
0.02,0,42,EA,0.3261917735504124,4
0.02,0,42,SA,0.254592452629416,2
0.02,1,43,EA,0.3186749576378529,3
0.02,1,43,SA,0.2546646915178868,2
0.02,2,44,EA,0.41856382647295176,3
0.02,2,44,SA,0.34420885866343887,5
0.02,3,45,EA,0.31391908947687575,3
0.02,3,45,SA,0.3295391746759347,8
0.02,4,46,EA,0.4264625087335689,5
0.02,4,46,SA,0.32718679225804087,8
0.02,5,47,EA,0.5349953442565503,10
0.02,5,47,SA,0.3568198976170903,8
0.02,6,48,EA,0.6195729159589709,5
0.02,6,48,SA,0.2430100456514386,3
0.02,7,49,EA,0.4472841789525132,5
0.02,7,49,SA,0.3744202917421735,6
0.02,8,50,EA,0.5986167982121868,5
0.02,8,50,SA,0.32982021032536335,3
0.02,9,51,EA,0.4726310176162116,5
0.02,9,51,SA,0.14408139608590007,2
0.02,10,52,EA,0.5058594261492831,4
0.02,10,52,SA,0.3696249301500885,2
0.02,11,53,EA,0.6186377525319742,3
0.02,11,53,SA,0.5579184671106481,7
0.02,12,54,EA,0.6407161953297199,6
0.02,12,54,SA,0.4057263829276843,5
0.02,13,55,EA,0.40076276770542757,3
0.02,13,55,SA,0.25639621679274466,4
0.02,14,56,EA,0.47527824178098843,4
0.02,14,56,SA,0.25032134998254996,5
0.02,15,57,EA,0.48441255715922876,4
0.02,15,57,SA,0.5170044749032036,5
0.02,16,58,EA,0.32667249280209465,3
0.02,16,58,SA,0.3562258234686006,3
0.02,17,59,EA,0.268878994022985,3
0.02,17,59,SA,0.1961379773755776,2
0.02,18,60,EA,0.2793613103409845,4
0.02,18,60,SA,0.27603682244482763,5
0.02,19,61,EA,0.4140926085819824,3
0.02,19,61,SA,0.29838900884954045,4
0.03,0,42,EA,0.4789977083055689,4
0.03,0,42,SA,0.4010585373242797,3
0.03,1,43,EA,0.32882797018410836,3
0.03,1,43,SA,0.23558168894036016,1
0.03,2,44,EA,0.3837592153814061,2
0.03,2,44,SA,0.33192037153007364,2
0.03,3,45,EA,0.27151762378572963,2
0.03,3,45,SA,0.24765916579903385,4
0.03,4,46,EA,0.3317085258249095,3
0.03,4,46,SA,0.30059374045908055,6
0.03,5,47,EA,0.3588905361689719,4
0.03,5,47,SA,0.32302069822507884,3
0.03,6,48,EA,0.637759384255008,4
0.03,6,48,SA,0.2430100456514386,3
0.03,7,49,EA,0.3471943198633264,3
0.03,7,49,SA,0.2344971660821709,3
0.03,8,50,EA,0.6654422101330045,5
0.03,8,50,SA,0.3004649224687154,2
0.03,9,51,EA,0.5762530242964159,5
0.03,9,51,SA,0.09760079229887267,1
0.03,10,52,EA,0.4023633493271052,2
0.03,10,52,SA,0.40134012501575306,8
0.03,11,53,EA,0.6207044760267697,3
0.03,11,53,SA,0.5579184671106481,7
0.03,12,54,EA,0.5839436392062255,3
0.03,12,54,SA,0.3681754301564611,2
0.03,13,55,EA,0.37474776016753114,2
0.03,13,55,SA,0.3713051922446747,5
0.03,14,56,EA,0.39795128503554833,3
0.03,14,56,SA,0.28551875769297963,5
0.03,15,57,EA,0.4341809701297779,3
0.03,15,57,SA,0.27135200855713393,2
0.03,16,58,EA,0.34102844815863254,3
0.03,16,58,SA,0.3562258234686006,3
0.03,17,59,EA,0.2685809440658972,2
0.03,17,59,SA,0.23156559400911234,2
0.03,18,60,EA,0.2766496675886353,4
0.03,18,60,SA,0.24896650031404582,4
0.03,19,61,EA,0.46457575120821687,4
0.03,19,61,SA,0.2841840262279809,3
0.05,0,42,EA,0.25821091445969857,2
