target_idx,target_seed,repeat,repeat_seed,algorithm,fidelity,gate_count
0,42,0,42000,EA,0.3017931476030315,3
0,42,0,42000,SA,0.254592452629416,4
0,42,1,42001,EA,0.36201810209795404,3
0,42,1,42001,SA,0.32709280814619074,9
0,42,2,42002,EA,0.40939846209434116,4
0,42,2,42002,SA,0.37228189449880783,8
0,42,3,42003,EA,0.4413560599221183,5
0,42,3,42003,SA,0.37976801900848406,4
0,42,4,42004,EA,0.342463981737073,6
0,42,4,42004,SA,0.29858395413980593,3
1,43,0,43000,EA,0.39309773211167837,5
1,43,0,43000,SA,0.4351740995614848,4
1,43,1,43001,EA,0.6138092212910424,7
1,43,1,43001,SA,0.2876487940726386,5
1,43,2,43002,EA,0.466366732585125,7
1,43,2,43002,SA,0.36896397109905604,14
1,43,3,43003,EA,0.47090192084089383,7
1,43,3,43003,SA,0.42093713184876635,15
1,43,4,43004,EA,0.5106989914413079,6
1,43,4,43004,SA,0.45370206800483237,5
2,44,0,44000,EA,0.4502999551781032,5
2,44,0,44000,SA,0.3420202961596904,10
2,44,1,44001,EA,0.4557390343873753,4
2,44,1,44001,SA,0.3751787777474227,10
2,44,2,44002,EA,0.4443890030029188,6
2,44,2,44002,SA,0.5019280236785729,14
2,44,3,44003,EA,0.3840955742862412,3
2,44,3,44003,SA,0.31298307018560273,2
2,44,4,44004,EA,0.4497629449275253,6
2,44,4,44004,SA,0.3365613254623233,2
3,45,0,45000,EA,0.38158848508919735,8
3,45,0,45000,SA,0.365257319288004,5
3,45,1,45001,EA,0.3405628175867891,5
3,45,1,45001,SA,0.3485345327694126,7
3,45,2,45002,EA,0.31803652648226893,4
3,45,2,45002,SA,0.3430368376552228,5
3,45,3,45003,EA,0.36487400486718147,5
3,45,3,45003,SA,0.39084981746086805,6
3,45,4,45004,EA,0.31156076343406275,3
3,45,4,45004,SA,0.4480405822014313,9
4,46,0,46000,EA,0.44614461294643193,5
4,46,0,46000,SA,0.34324242407571354,14
4,46,1,46001,EA,0.4792304164584981,4
4,46,1,46001,SA,0.3240916508257825,4
4,46,2,46002,EA,0.32804591730230226,3
4,46,2,46002,SA,0.4289518224444882,9
4,46,3,46003,EA,0.3363481240491066,5
4,46,3,46003,SA,0.43435944015974826,7
4,46,4,46004,EA,0.5059611660846227,5
4,46,4,46004,SA,0.3266899883922896,4
5,47,0,47000,EA,0.34776145001554526,5
5,47,0,47000,SA,0.33961639722325127,5
5,47,1,47001,EA,0.4755871738392943,6
5,47,1,47001,SA,0.2434743925224649,4
