beta,target_idx,seed,algorithm,fitness_variant,fidelity,gate_count
0.03,0,42,EA,standard,0.4789977083055689,4
0.03,0,42,SA,standard,0.4010585373242797,3
0.03,0,42,EA,floor,0.34727444259095497,4
0.03,0,42,SA,floor,0.2771103564852089,7
0.03,1,43,EA,standard,0.32882797018410836,3
0.03,1,43,SA,standard,0.23558168894036016,1
0.03,1,43,EA,floor,0.34017445880719027,3
0.03,1,43,SA,floor,0.4769162519558098,6
0.03,2,44,EA,standard,0.3837592153814061,2
0.03,2,44,SA,standard,0.33192037153007364,2
0.03,2,44,EA,floor,0.3723663869343571,3
0.03,2,44,SA,floor,0.3076184129054625,7
0.03,3,45,EA,standard,0.27151762378572963,2
0.03,3,45,SA,standard,0.24765916579903385,4
0.03,3,45,EA,floor,0.30092175778759417,6
0.03,3,45,SA,floor,0.11348257989739371,12
0.03,4,46,EA,standard,0.3317085258249095,3
0.03,4,46,SA,standard,0.30059374045908055,6
0.03,4,46,EA,floor,0.5184105371564297,7
0.03,4,46,SA,floor,0.38763451239503444,9
0.03,5,47,EA,standard,0.3588905361689719,4
0.03,5,47,SA,standard,0.32302069822507884,3
0.03,5,47,EA,floor,0.3083956953904617,3
0.03,5,47,SA,floor,0.12561687688502668,8
0.03,6,48,EA,standard,0.637759384255008,4
0.03,6,48,SA,standard,0.2430100456514386,3
0.03,6,48,EA,floor,0.5271994781052322,6
0.03,6,48,SA,floor,0.018499200821149125,1
0.03,7,49,EA,standard,0.3471943198633264,3
0.03,7,49,SA,standard,0.2344971660821709,3
0.03,7,49,EA,floor,0.5063207149505731,6
0.03,7,49,SA,floor,0.02058012105065204,11
0.03,8,50,EA,standard,0.6654422101330045,5
0.03,8,50,SA,standard,0.3004649224687154,2
0.03,8,50,EA,floor,0.574249730417673,7
0.03,8,50,SA,floor,0.4036194561567201,3
0.03,9,51,EA,standard,0.5762530242964159,5
0.03,9,51,SA,standard,0.09760079229887267,1
0.03,9,51,EA,floor,0.3952464771761142,5
0.03,9,51,SA,floor,0.31358824432230575,4
0.03,10,52,EA,standard,0.4023633493271052,2
0.03,10,52,SA,standard,0.40134012501575306,8
0.03,10,52,EA,floor,0.5365754240580651,5
0.03,10,52,SA,floor,0.451099450003021,13
0.03,11,53,EA,standard,0.6207044760267697,3
0.03,11,53,SA,standard,0.5579184671106481,7
0.03,11,53,EA,floor,0.6094925980498159,4
0.03,11,53,SA,floor,0.5403846748337238,5
0.03,12,54,EA,standard,0.5839436392062255,3
0.03,12,54,SA,standard,0.3681754301564611,2
0.03,12,54,EA,floor,0.5526803788178055,6
0.03,12,54,SA,floor,0.4864505381632326,6
0.03,13,55,EA,standard,0.37474776016753114,2
0.03,13,55,SA,standard,0.3713051922446747,5
0.03,13,55,EA,floor,0.3268934840784011,3
0.03,13,55,SA,floor,0.35764029379203927,11
0.03,14,56,EA,standard,0.39795128503554833,3
0.03,14,56,SA,standard,0.28551875769297963,5
0.03,14,56,EA,floor,0.43571455891455396,3
0.03,14,56,SA,floor,0.49409511257703115,7
0.03,15,57,EA,standard,0.4341809701297779,3
0.03,15,57,SA,standard,0.27135200855713393,2
0.03,15,57,EA,floor,0.4341809701297779,3
0.03,15,57,SA,floor,0.0023502222509928514,7
0.03,16,58,EA,standard,0.34102844815863254,3
0.03,16,58,SA,standard,0.3562258234686006,3
0.03,16,58,EA,floor,0.3334694835417519,3
0.03,16,58,SA,floor,0.3562258234686006,5
0.03,17,59,EA,standard,0.2685809440658972,2
0.03,17,59,SA,standard,0.23156559400911234,2
0.03,17,59,EA,floor,0.049689689362525206,2
0.03,17,59,SA,floor,0.049689689362525206,2
0.03,18,60,EA,standard,0.2766496675886353,4
0.03,18,60,SA,standard,0.24896650031404582,4
0.03,18,60,EA,floor,0.055046055527813206,14
0.03,18,60,SA,floor,0.055046055527813206,14
0.03,19,61,EA,standard,0.46457575120821687,4
0.03,19,61,SA,standard,0.2841840262279809,3
0.03,19,61,EA,floor,0.44912073123440166,5
0.03,19,61,SA,floor,0.016110949720904186,4
0.05,0,42,EA,standard,0.25821091445969857,2
0.05,0,42,SA,standard,0.254592452629416,2
0.05,0,42,EA,floor,0.322980970299773,3
0.05,0,42,SA,floor,0.2771103564852089,7
0.05,1,43,EA,standard,0.3635009863262718,3
0.05,1,43,SA,standard,0.23558168894036016,1
0.05,1,43,EA,floor,0.34017445880719027,3
0.05,1,43,SA,floor,0.4769162519558098,6
0.05,2,44,EA,standard,0.34800314383461306,2
0.05,2,44,SA,standard,0.33192037153007364,2
0.05,2,44,EA,floor,0.35489928486747063,2
0.05,2,44,SA,floor,0.3076184129054625,7
0.05,3,45,EA,standard,0.31216288037555634,3
0.05,3,45,SA,standard,0.24376001057644006,2
0.05,3,45,EA,floor,0.30092175778759417,6
0.05,3,45,SA,floor,0.11348257989739371,12
0.05,4,46,EA,standard,0.2567934618544216,2
0.05,4,46,SA,standard,0.23779339365920668,2
0.05,4,46,EA,floor,0.4946972553805147,7
0.05,4,46,SA,floor,0.38763451239503444,9
0.05,5,47,EA,standard,0.2978445922164539,3
0.05,5,47,SA,standard,0.32302069822507884,3
0.05,5,47,EA,floor,0.3083956953904617,3
0.05,5,47,SA,floor,0.12561687688502668,8
0.05,6,48,EA,standard,0.4533295362164081,4
0.05,6,48,SA,standard,0.2500194694206598,2
0.05,6,48,EA,floor,0.5853846895188677,6
0.05,6,48,SA,floor,0.018499200821149125,1
0.05,7,49,EA,standard,0.5736234057459056,5
0.05,7,49,SA,standard,0.19050742625499476,2
0.05,7,49,EA,floor,0.46291516768300456,4
0.05,7,49,SA,floor,0.02058012105065204,11
0.05,8,50,EA,standard,0.5192311520168198,3
0.05,8,50,SA,standard,0.4631068680153808,3
0.05,8,50,EA,floor,0.5695626114809639,4
0.05,8,50,SA,floor,0.4984311976681137,3
0.05,9,51,EA,standard,0.10624262037914535,1
