beta,target_idx,target_seed,repeat,repeat_seed,algorithm,fitness_variant,fidelity,gate_count
0.03,0,42,0,42000,EA,standard,0.2705039438073491,2
0.03,0,42,0,42000,SA,standard,0.3749882231529003,14
0.03,0,42,0,42000,EA,floor,0.37501382697376134,3
0.03,0,42,0,42000,SA,floor,0.015530239755973431,9
0.03,0,42,1,42001,EA,standard,0.36113334144064013,3
0.03,0,42,1,42001,SA,standard,0.29411990371863894,7
0.03,0,42,1,42001,EA,floor,0.3417749027867682,4
0.03,0,42,1,42001,SA,floor,0.11736921673288786,10
0.03,0,42,2,42002,EA,standard,0.4151655950141139,4
0.03,0,42,2,42002,SA,standard,0.343958223782869,6
0.03,0,42,2,42002,EA,floor,0.305440200777786,3
0.03,0,42,2,42002,SA,floor,0.06812843827644126,13
0.03,1,43,0,43000,EA,standard,0.2906703370452356,2
0.03,1,43,0,43000,SA,standard,0.267958756704052,3
0.03,1,43,0,43000,EA,floor,0.5229628233759442,5
0.03,1,43,0,43000,SA,floor,0.4545050959861097,7
0.03,1,43,1,43001,EA,standard,0.29454670049678056,2
0.03,1,43,1,43001,SA,standard,0.30095097794585723,5
0.03,1,43,1,43001,EA,floor,0.4213131962771913,3
0.03,1,43,1,43001,SA,floor,0.0309063421399519,9
0.03,1,43,2,43002,EA,standard,0.29651911244124857,2
0.03,1,43,2,43002,SA,standard,0.4456751505801382,7
0.03,1,43,2,43002,EA,floor,0.39066853056438344,4
0.03,1,43,2,43002,SA,floor,0.38145204006683786,10
0.03,2,44,0,44000,EA,standard,0.3832058495483945,2
0.03,2,44,0,44000,SA,standard,0.37234059299219074,5
0.03,2,44,0,44000,EA,floor,0.38147351452135103,3
0.03,2,44,0,44000,SA,floor,0.008579940874322128,15
0.03,2,44,1,44001,EA,standard,0.44412944031949475,3
0.03,2,44,1,44001,SA,standard,0.3622985930551515,3
0.03,2,44,1,44001,EA,floor,0.38890780228233723,3
0.03,2,44,1,44001,SA,floor,0.3893719387866935,7
0.03,2,44,2,44002,EA,standard,0.3194712517552871,2
0.03,2,44,2,44002,SA,standard,0.47292100917036684,12
0.03,2,44,2,44002,EA,floor,0.4310048851077655,4
0.03,2,44,2,44002,SA,floor,0.02992981371411502,11
0.03,3,45,0,45000,EA,standard,0.3234040945768854,3
0.03,3,45,0,45000,SA,standard,0.2815358327911388,2
0.03,3,45,0,45000,EA,floor,0.3183921107167705,3
0.03,3,45,0,45000,SA,floor,0.4222641836186765,5
0.03,3,45,1,45001,EA,standard,0.3211355173900909,3
0.03,3,45,1,45001,SA,standard,0.3828566266982555,6
0.03,3,45,1,45001,EA,floor,0.3220145548130254,8
0.03,3,45,1,45001,SA,floor,0.012590097754562418,12
0.03,3,45,2,45002,EA,standard,0.29437899945962104,2
0.03,3,45,2,45002,SA,standard,0.2510712953595422,2
0.03,3,45,2,45002,EA,floor,0.4479923566465896,5
0.03,3,45,2,45002,SA,floor,0.3446992320694528,13
0.03,4,46,0,46000,EA,standard,0.4196840655704064,4
0.03,4,46,0,46000,SA,standard,0.23625730779617865,2
0.03,4,46,0,46000,EA,floor,0.3883884433654115,4
0.03,4,46,0,46000,SA,floor,0.3469333537619009,9
0.03,4,46,1,46001,EA,standard,0.49241413215148216,4
0.03,4,46,1,46001,SA,standard,0.3057321821191619,3
0.03,4,46,1,46001,EA,floor,0.4775696139958599,7
0.03,4,46,1,46001,SA,floor,0.03651266168229578,2
0.03,4,46,2,46002,EA,standard,0.31203159340343334,3
0.03,4,46,2,46002,SA,standard,0.2531957337752321,2
0.03,4,46,2,46002,EA,floor,0.4052746611664667,5
0.03,4,46,2,46002,SA,floor,0.050481067839332164,1
0.03,5,47,0,47000,EA,standard,0.31848315724360715,3
0.03,5,47,0,47000,SA,standard,0.2999532484760296,3
0.03,5,47,0,47000,EA,floor,0.08079824860929424,2
0.03,5,47,0,47000,SA,floor,0.08079824860929424,2
0.03,5,47,1,47001,EA,standard,0.471651068501641,5
0.03,5,47,1,47001,SA,standard,0.32112881655089187,3
0.03,5,47,1,47001,EA,floor,0.32413456671495267,6
0.03,5,47,1,47001,SA,floor,0.057871845761868074,9
0.03,5,47,2,47002,EA,standard,0.34261583198605233,4
0.03,5,47,2,47002,SA,standard,0.30901651073951464,3
0.03,5,47,2,47002,EA,floor,0.34236386826143683,7
0.03,5,47,2,47002,SA,floor,0.33531099590436686,5
0.03,6,48,0,48000,EA,standard,0.5973152720705706,6
0.03,6,48,0,48000,SA,standard,0.3460297701798813,4
0.03,6,48,0,48000,EA,floor,0.4288455408753333,4
0.03,6,48,0,48000,SA,floor,0.4422156367284649,8
0.03,6,48,1,48001,EA,standard,0.5282961953398814,4
0.03,6,48,1,48001,SA,standard,0.34378019178949626,4
0.03,6,48,1,48001,EA,floor,0.6440688162606321,7
0.03,6,48,1,48001,SA,floor,0.45171215037853846,9
0.03,6,48,2,48002,EA,standard,0.31946224037382664,3
0.03,6,48,2,48002,SA,standard,0.23693924359394278,3
0.03,6,48,2,48002,EA,floor,0.6062389824110674,7
0.03,6,48,2,48002,SA,floor,0.0008317851363453628,4
0.03,7,49,0,49000,EA,standard,0.5784006652185475,6
0.03,7,49,0,49000,SA,standard,0.22209458168862167,5
