pop_size,mutation_rate,total_evaluations,n_targets,mean_fitness,std_fitness,mean_fidelity,mean_gate_count,fitness_per_1k_evals
200,0.0779,20000,5,0.40671743538602556,0.05075985966847949,0.47671743538602557,7.0,0.02033587176930128
100,0.05,10000,5,0.3880609728164548,0.04023453217502038,0.4460609728164548,5.8,0.03880609728164548
67,0.0779,6700,5,0.3678966182122266,0.0686048449131517,0.4258966182122266,5.8,0.054909943016750236
200,0.05,20000,5,0.3592901863265143,0.07835809570064667,0.4152901863265142,5.6,0.017964509316325716
200,0.02,20000,5,0.35876794386617084,0.03851556545064911,0.42076794386617083,6.2,0.01793839719330854
100,0.0779,10000,5,0.35354538808688946,0.08732203354055094,0.39554538808688944,4.2,0.03535453880868895
200,0.15,20000,5,0.348876855365154,0.061170747846282396,0.402876855365154,5.4,0.017443842768257698
67,0.15,6700,5,0.34386812558034685,0.09122763954151014,0.3818681255803468,3.8,0.05132360083288759
50,0.15,5000,5,0.33666256329388616,0.08152576977839175,0.3866625632938862,5.0,0.06733251265877722
67,0.05,6700,5,0.3353641680456213,0.05616037667230569,0.3793641680456213,4.4,0.05005435343964497
50,0.0779,5000,5,0.33313724613677803,0.0482607309734228,0.389137246136778,5.6,0.0666274492273556
100,0.15,10000,5,0.32840478112173843,0.03550426978599101,0.38040478112173837,5.2,0.032840478112173846
50,0.05,5000,5,0.31468794350960094,0.0838169667570324,0.3606879435096008,4.6,0.06293758870192019
67,0.02,6700,5,0.3124394772940355,0.06613862909845533,0.3704394772940355,5.8,0.04663275780507992
67,0.3,6700,5,0.30283933069371144,0.04053610667670944,0.33283933069371135,3.0,0.04519990010353902
200,0.3,20000,5,0.29775763615309947,0.035408993493256234,0.3337576361530995,3.6,0.014887881807654973
100,0.02,10000,5,0.2934164964909794,0.05570854288533905,0.3394164964909794,4.6,0.02934164964909794
100,0.3,10000,5,0.28779130889143156,0.03440421889749642,0.32179130889143154,3.4,0.028779130889143155
50,0.02,5000,5,0.2821520151350648,0.045279043435229954,0.32215201513506475,4.0,0.056430403027012965
50,0.3,5000,5,0.2752165002096527,0.03195882457079447,0.3092165002096527,3.4,0.055043300041930546
