target_idx,seed,algorithm,fidelity,gate_count
0,42,EA,0.3775650388216485,4
0,42,SA,0.4084922097801521,11
1,43,EA,0.37688069488125475,4
1,43,SA,0.27937866065651057,2
2,44,EA,0.4797039371183612,7
2,44,SA,0.4364507524917875,3
3,45,EA,0.5961452002578251,10
3,45,SA,0.31998233252767416,10
4,46,EA,0.44776961828581596,8
4,46,SA,0.4054613270174183,6
5,47,EA,0.41424479651388335,7
5,47,SA,0.3681776336030638,4
6,48,EA,0.5936264033525043,6
6,48,SA,0.620714433091752,8
7,49,EA,0.5047164574001639,5
7,49,SA,0.4538350821778043,5
8,50,EA,0.5179944129490389,5
8,50,SA,0.5436771383380175,12
9,51,EA,0.5634238429255723,4
9,51,SA,0.2986113829104671,5
10,52,EA,0.5177843309933949,5
10,52,SA,0.37599015563070476,11
11,53,EA,0.586409533224902,5
11,53,SA,0.5437127260629383,4
12,54,EA,0.5772517912513817,5
12,54,SA,0.3776758682734765,3
13,55,EA,0.3990314499905383,3
13,55,SA,0.3953251203206314,11
14,56,EA,0.48242790824159537,5
14,56,SA,0.25032134998254996,5
15,57,EA,0.4810121544334661,5
15,57,SA,0.5170044749032036,5
16,58,EA,0.3292643798349159,4
16,58,SA,0.3562258234686006,3
17,59,EA,0.2603898459333759,3
17,59,SA,0.1902265597329119,2
18,60,EA,0.291527846786419,5
18,60,SA,0.2516338995539016,5
19,61,EA,0.442819511674347,4
19,61,SA,0.29275520675349787,6
