beta,target_idx,seed,algorithm,fidelity,gate_count
0.01,0,42,EA,0.3775650388216485,4
0.01,0,42,SA,0.4084922097801521,11
0.01,1,43,EA,0.37688069488125475,4
0.01,1,43,SA,0.27937866065651057,2
0.01,2,44,EA,0.4797039371183612,7
0.01,2,44,SA,0.4364507524917875,3
0.01,3,45,EA,0.5961452002578251,10
0.01,3,45,SA,0.31998233252767416,10
0.01,4,46,EA,0.44776961828581596,8
0.01,4,46,SA,0.4054613270174183,6
0.01,5,47,EA,0.41424479651388335,7
0.01,5,47,SA,0.3681776336030638,4
0.01,6,48,EA,0.5936264033525043,6
0.01,6,48,SA,0.620714433091752,8
0.01,7,49,EA,0.5047164574001639,5
0.01,7,49,SA,0.4538350821778043,5
0.01,8,50,EA,0.5179944129490389,5
0.01,8,50,SA,0.5436771383380175,12
0.01,9,51,EA,0.5634238429255723,4
0.01,9,51,SA,0.2986113829104671,5
0.01,10,52,EA,0.5177843309933949,5
0.01,10,52,SA,0.37599015563070476,11
0.01,11,53,EA,0.586409533224902,5
0.01,11,53,SA,0.5437127260629383,4
0.01,12,54,EA,0.5772517912513817,5
0.01,12,54,SA,0.3776758682734765,3
0.01,13,55,EA,0.3990314499905383,3
0.01,13,55,SA,0.3953251203206314,11
0.01,14,56,EA,0.48242790824159537,5
0.01,14,56,SA,0.25032134998254996,5
0.01,15,57,EA,0.4810121544334661,5
0.01,15,57,SA,0.5170044749032036,5
0.01,16,58,EA,0.3292643798349159,4
0.01,16,58,SA,0.3562258234686006,3
0.01,17,59,EA,0.2603898459333759,3
0.01,17,59,SA,0.1902265597329119,2
0.01,18,60,EA,0.291527846786419,5
0.01,18,60,SA,0.2516338995539016,5
0.01,19,61,EA,0.442819511674347,4
0.01,19,61,SA,0.29275520675349787,6
0.02,0,42,EA,0.361882093997196,6
0.02,0,42,SA,0.254592452629416,2
0.02,1,43,EA,0.3186749576378529,3
0.02,1,43,SA,0.2546646915178868,2
0.02,2,44,EA,0.33196890493018744,2
0.02,2,44,SA,0.34420885866343887,5
0.02,3,45,EA,0.294075716438314,3
0.02,3,45,SA,0.3295391746759347,8
0.02,4,46,EA,0.30515570064970415,3
0.02,4,46,SA,0.32718679225804087,8
0.02,5,47,EA,0.3785898015323602,4
0.02,5,47,SA,0.3568198976170903,8
0.02,6,48,EA,0.6645161685758152,6
0.02,6,48,SA,0.2430100456514386,3
0.02,7,49,EA,0.3564769025656781,3
0.02,7,49,SA,0.3744202917421735,6
0.02,8,50,EA,0.6591419907214571,5
0.02,8,50,SA,0.32982021032536335,3
0.02,9,51,EA,0.21369964984529286,3
0.02,9,51,SA,0.14408139608590007,2
0.02,10,52,EA,0.5752126150154068,5
0.02,10,52,SA,0.3696249301500885,2
0.02,11,53,EA,0.6255309456166943,4
0.02,11,53,SA,0.5579184671106481,7
0.02,12,54,EA,0.6407161953297199,6
0.02,12,54,SA,0.4057263829276843,5
0.02,13,55,EA,0.40076276770542757,3
0.02,13,55,SA,0.25639621679274466,4
0.02,14,56,EA,0.47527824178098843,4
0.02,14,56,SA,0.25032134998254996,5
0.02,15,57,EA,0.4801683762111214,4
0.02,15,57,SA,0.5170044749032036,5
0.02,16,58,EA,0.346033041058505,3
0.02,16,58,SA,0.3562258234686006,3
0.02,17,59,EA,0.23495945433991305,2
0.02,17,59,SA,0.1961379773755776,2
0.02,18,60,EA,0.2793613103409845,4
0.02,18,60,SA,0.27603682244482763,5
0.02,19,61,EA,0.4140926085819824,3
0.02,19,61,SA,0.29838900884954045,4
0.03,0,42,EA,0.2584216447411355,2
0.03,0,42,SA,0.4010585373242797,3
0.03,1,43,EA,0.32882797018410836,3
0.03,1,43,SA,0.23558168894036016,1
0.03,2,44,EA,0.38207607562408963,2
0.03,2,44,SA,0.33192037153007364,2
0.03,3,45,EA,0.2928627893405284,3
0.03,3,45,SA,0.24765916579903385,4
0.03,4,46,EA,0.3317085258249095,3
0.03,4,46,SA,0.30059374045908055,6
0.03,5,47,EA,0.3588905361689719,4
0.03,5,47,SA,0.32302069822507884,3
0.03,6,48,EA,0.637759384255008,4
0.03,6,48,SA,0.2430100456514386,3
0.03,7,49,EA,0.3471943198633264,3
0.03,7,49,SA,0.2344971660821709,3
0.03,8,50,EA,0.5696499093659054,3
0.03,8,50,SA,0.3004649224687154,2
0.03,9,51,EA,0.5762530242964159,5
0.03,9,51,SA,0.09760079229887267,1
0.03,10,52,EA,0.4031801676247174,2
0.03,10,52,SA,0.40134012501575306,8
0.03,11,53,EA,0.41065780266729823,2
0.03,11,53,SA,0.5579184671106481,7
0.03,12,54,EA,0.6388383062687811,5
0.03,12,54,SA,0.3681754301564611,2
0.03,13,55,EA,0.37474776016753114,2
0.03,13,55,SA,0.3713051922446747,5
0.03,14,56,EA,0.39795128503554833,3
0.03,14,56,SA,0.28551875769297963,5
0.03,15,57,EA,0.5222487186268503,4
0.03,15,57,SA,0.27135200855713393,2
0.03,16,58,EA,0.34102844815863254,3
0.03,16,58,SA,0.3562258234686006,3
0.03,17,59,EA,0.2685809440658972,2
0.03,17,59,SA,0.23156559400911234,2
0.03,18,60,EA,0.2766496675886353,4
0.03,18,60,SA,0.24896650031404582,4
0.03,19,61,EA,0.3407904230065109,3
0.03,19,61,SA,0.2841840262279809,3
0.05,0,42,EA,0.4139386401568748,3
0.05,0,42,SA,0.254592452629416,2
0.05,1,43,EA,0.3635009863262718,3
0.05,1,43,SA,0.23558168894036016,1
0.05,2,44,EA,0.34800314383461306,2
0.05,2,44,SA,0.33192037153007364,2
0.05,3,45,EA,0.31215546682051953,3
0.05,3,45,SA,0.24376001057644006,2
0.05,4,46,EA,0.2567934618544216,2
0.05,4,46,SA,0.23779339365920668,2
0.05,5,47,EA,0.2978445922164539,3
0.05,5,47,SA,0.32302069822507884,3
0.05,6,48,EA,0.4533295362164081,4
0.05,6,48,SA,0.2500194694206598,2
0.05,7,49,EA,0.5736234057459056,5
0.05,7,49,SA,0.19050742625499476,2
0.05,8,50,EA,0.5192311520168198,3
0.05,8,50,SA,0.4631068680153808,3
0.05,9,51,EA,0.10624262037914535,1
0.05,9,51,SA,0.09760079229887267,1
0.05,10,52,EA,0.32556117358818903,1
0.05,10,52,SA,0.1873131024906681,6
0.05,11,53,EA,0.41065780266729823,2
0.05,11,53,SA,0.3609169245429604,2
0.05,12,54,EA,0.5477680507694427,3
0.05,12,54,SA,0.39208062993959214,6
0.05,13,55,EA,0.23178975676281058,1
0.05,13,55,SA,0.2995507335136955,2
0.05,14,56,EA,0.39581741098942413,3
0.05,14,56,SA,0.34509494682041225,3
0.05,15,57,EA,0.48962117888602996,3
0.05,15,57,SA,0.43417960425892915,4
0.05,16,58,EA,0.2511953835743827,1
0.05,16,58,SA,0.3562258234686006,3
0.05,17,59,EA,0.23099002019347928,2
0.05,17,59,SA,0.144590333101538,1
0.05,18,60,EA,0.24905156589466904,3
0.05,18,60,SA,0.08393883387409873,1
0.05,19,61,EA,0.38706411383419465,3
0.05,19,61,SA,0.2841840262279809,3
0.07,0,42,EA,0.4240512153617198,4
0.07,0,42,SA,0.254592452629416,2
0.07,1,43,EA,0.24265072604089347,1
0.07,1,43,SA,0.23558168894036016,1
0.07,2,44,EA,0.36265665653960116,2
0.07,2,44,SA,0.27841189710648917,1
0.07,3,45,EA,0.15373373049933683,1
0.07,3,45,SA,0.24376001057644006,2
0.07,4,46,EA,0.24077812978660174,2
0.07,4,46,SA,0.23779339365920668,2
0.07,5,47,EA,0.17655225377809985,1
0.07,5,47,SA,0.17600552716329765,1
0.07,6,48,EA,0.23425873261562494,2
0.07,6,48,SA,0.2065592347428841,2
0.07,7,49,EA,0.24731178388503344,2
0.07,7,49,SA,0.43046843456819517,4
0.07,8,50,EA,0.5960934045276376,4
0.07,8,50,SA,0.4631068680153808,3
0.07,9,51,EA,0.1025309820019817,1
0.07,9,51,SA,0.09760079229887267,1
0.07,10,52,EA,0.29361856810267056,1
0.07,10,52,SA,0.3361066757477922,3
0.07,11,53,EA,0.3926173194304331,2
0.07,11,53,SA,0.619082374186202,5
0.07,12,54,EA,0.5818335861107238,3
0.07,12,54,SA,0.17021109015028021,1
0.07,13,55,EA,0.3125793274284644,2
0.07,13,55,SA,0.23552545753247675,1
0.07,14,56,EA,0.26479540522272355,1
0.07,14,56,SA,0.3473491595296032,2
0.07,15,57,EA,0.4732109942219794,3
0.07,15,57,SA,0.3789924691233326,3
0.07,16,58,EA,0.2515203316925386,1
0.07,16,58,SA,0.24744172147354188,1
0.07,17,59,EA,0.1750921025383712,1
0.07,17,59,SA,0.17753587093193707,1
0.07,18,60,EA,0.08393883387409873,1
0.07,18,60,SA,0.08393883387409873,1
0.07,19,61,EA,0.09371891572994437,1
0.07,19,61,SA,0.19666124671971172,2
