target_idx,target_seed,repeat,repeat_seed,algorithm,fidelity,gate_count
0,42,0,42000,EA,0.2793136513000999,3
0,42,0,42000,SA,0.254592452629416,4
0,42,1,42001,EA,0.4177645129500618,5
0,42,1,42001,SA,0.32709280814619074,9
0,42,2,42002,EA,0.5121921493253826,5
0,42,2,42002,SA,0.37228189449880783,8
0,42,3,42003,EA,0.3705890944418128,3
0,42,3,42003,SA,0.37976801900848406,4
0,42,4,42004,EA,0.38133621126506906,5
0,42,4,42004,SA,0.29858395413980593,3
0,42,5,42005,EA,0.4410421149665977,5
0,42,5,42005,SA,0.25496068207134537,4
0,42,6,42006,EA,0.2707612500459313,3
0,42,6,42006,SA,0.2888846207124023,7
0,42,7,42007,EA,0.2871569412861527,3
0,42,7,42007,SA,0.3310233834972762,3
1,43,0,43000,EA,0.2968445025931073,2
1,43,0,43000,SA,0.4351740995614848,4
1,43,1,43001,EA,0.49788732327342705,9
1,43,1,43001,SA,0.2876487940726386,5
1,43,2,43002,EA,0.4607408832011698,6
1,43,2,43002,SA,0.36896397109905604,14
1,43,3,43003,EA,0.37623075335649336,7
1,43,3,43003,SA,0.42093713184876635,15
1,43,4,43004,EA,0.36494706497396057,3
1,43,4,43004,SA,0.45370206800483237,5
1,43,5,43005,EA,0.33024775397515743,4
1,43,5,43005,SA,0.2756007053290858,2
1,43,6,43006,EA,0.47283435892143505,6
1,43,6,43006,SA,0.3702904328911507,5
1,43,7,43007,EA,0.4817445800401351,6
1,43,7,43007,SA,0.3508529244810174,6
2,44,0,44000,EA,0.3836605478862941,3
2,44,0,44000,SA,0.3420202961596904,10
2,44,1,44001,EA,0.4423621756603538,4
2,44,1,44001,SA,0.3751787777474227,10
2,44,2,44002,EA,0.27751223880961984,1
2,44,2,44002,SA,0.5019280236785729,14
2,44,3,44003,EA,0.33888066217041574,3
2,44,3,44003,SA,0.31298307018560273,2
2,44,4,44004,EA,0.3862209959112819,3
2,44,4,44004,SA,0.3365613254623233,2
2,44,5,44005,EA,0.38301049074261845,2
2,44,5,44005,SA,0.40439044388184725,8
2,44,6,44006,EA,0.4294599616947257,7
2,44,6,44006,SA,0.35306417334695794,3
2,44,7,44007,EA,0.4043502462511664,3
2,44,7,44007,SA,0.37525824686858467,3
3,45,0,45000,EA,0.4544123650575747,7
3,45,0,45000,SA,0.365257319288004,5
