algorithm,target_idx,n_repeats,mean_fidelity,std_fidelity,mean_gate_count,std_gate_count
EA,0,8,0.3700194906976385,0.08109501180336023,4.0,1.0
EA,1,8,0.4101846525418607,0.07222248938752979,5.375,2.117634293262177
EA,2,8,0.3806821648908095,0.04896458549011505,3.25,1.6393596310755
EA,3,8,0.3582437353537833,0.0463345550028514,4.5,1.118033988749895
EA,4,8,0.4572487144904126,0.06552696750270842,5.375,0.8569568250501305
EA,5,8,0.43403558370906214,0.08407681741701938,5.5,1.5
EA,6,8,0.6350942806687099,0.03737764478792531,6.25,1.5612494995995996
EA,7,8,0.545498839576109,0.031296932204122954,5.875,0.5994789404140899
EA,8,8,0.5977546468164951,0.05546302832797993,5.375,0.8569568250501305
EA,9,8,0.528994313704246,0.044204371712552946,5.25,0.6614378277661477
EA,10,8,0.5187563427126971,0.082785715281777,4.875,1.6909686573085854
EA,11,8,0.6538081159479558,0.0229622254336967,4.75,0.6614378277661477
EA,12,8,0.6156359169088397,0.02534145798551356,4.875,1.165922381636102
EA,13,8,0.3813275734440913,0.029869507822664336,4.5,1.3228756555322954
EA,14,8,0.48421507986007206,0.035592805654210954,5.25,0.9682458365518543
EA,15,8,0.5079280538575256,0.02563338001265301,4.875,0.9270248108869579
EA,16,8,0.3880726916109797,0.047912281145822806,4.5,1.3228756555322954
EA,17,8,0.3058752033127817,0.01402367733481474,5.0,0.7071067811865476
EA,18,8,0.2929517839546135,0.016315559488683753,4.25,1.299038105676658
EA,19,8,0.4529188503609012,0.02569868832841368,5.5,1.3228756555322954
SA,0,8,0.31339847683796607,0.04481052975221828,5.25,2.222048604328897
SA,1,8,0.37039626591100405,0.061143019623738505,7.0,4.47213595499958
SA,2,8,0.37517304466637524,0.05462011205128583,6.5,4.301162633521313
SA,3,8,0.36945197648153255,0.053446170135162556,5.75,1.7853571071357126
SA,4,8,0.36969007215587396,0.06279500956913289,7.5,2.958039891549808
SA,5,8,0.3112114945717283,0.035230782503873175,5.875,1.964529205687714
SA,6,8,0.4082860722786505,0.10283416763430449,6.0,2.3979157616563596
SA,7,8,0.3830459149703673,0.0896406207443568,7.125,2.6190408549696205
SA,8,8,0.5216598869723044,0.09973085968184585,7.25,2.9047375096555625
SA,9,8,0.32657293455439645,0.0907551484384277,6.0,1.3228756555322954
SA,10,8,0.43779063873324225,0.0934324576890965,5.875,2.7585095613392387
SA,11,8,0.5366452247293066,0.09658529601746557,6.75,1.920286436967152
SA,12,8,0.4639767980572977,0.0839603349147239,5.75,1.7853571071357126
SA,13,8,0.30341119659128224,0.06689191969883913,7.125,3.75624480032918
SA,14,8,0.35436179092850295,0.06071613982800218,4.875,2.8476964374736293
SA,15,8,0.37137206939720396,0.09018687326935228,6.625,3.6721077053920954
SA,16,8,0.30219415832388935,0.044301200067687056,4.5,1.6583123951777
SA,17,8,0.26987064036213865,0.0238091251091677,6.0,2.179449471770337
SA,18,8,0.24021722656704542,0.025926238251200547,5.5,1.9364916731037085
SA,19,8,0.3471470569778965,0.050551088755812434,7.875,3.8547859862773186
