beta,target_idx,target_seed,repeat,repeat_seed,algorithm,fitness_variant,fidelity,gate_count
0.03,0,42,0,42000,EA,standard,0.2705039438073491,2
0.03,0,42,0,42000,SA,standard,0.3749882231529003,14
0.03,0,42,0,42000,EA,floor,0.38518056665985556,3
0.03,0,42,0,42000,SA,floor,0.015530239755973431,9
0.03,0,42,1,42001,EA,standard,0.4135815811866011,4
0.03,0,42,1,42001,SA,standard,0.29411990371863894,7
0.03,0,42,1,42001,EA,floor,0.31171613220899497,6
0.03,0,42,1,42001,SA,floor,0.11736921673288786,10
0.03,0,42,2,42002,EA,standard,0.2590679453900521,2
0.03,0,42,2,42002,SA,standard,0.343958223782869,6
0.03,0,42,2,42002,EA,floor,0.3089890220142106,6
0.03,0,42,2,42002,SA,floor,0.06812843827644126,13
0.03,1,43,0,43000,EA,standard,0.2906703370452356,2
0.03,1,43,0,43000,SA,standard,0.267958756704052,3
0.03,1,43,0,43000,EA,floor,0.42263547843295507,4
0.03,1,43,0,43000,SA,floor,0.4545050959861097,7
0.03,1,43,1,43001,EA,standard,0.29454670049678056,2
0.03,1,43,1,43001,SA,standard,0.30095097794585723,5
0.03,1,43,1,43001,EA,floor,0.3794936274145572,3
0.03,1,43,1,43001,SA,floor,0.0309063421399519,9
0.03,1,43,2,43002,EA,standard,0.29651911244124857,2
0.03,1,43,2,43002,SA,standard,0.4456751505801382,7
0.03,1,43,2,43002,EA,floor,0.4603722354153974,4
0.03,1,43,2,43002,SA,floor,0.38145204006683786,10
0.03,2,44,0,44000,EA,standard,0.3832058495483945,2
0.03,2,44,0,44000,SA,standard,0.37234059299219074,5
0.03,2,44,0,44000,EA,floor,0.45104267531837705,4
0.03,2,44,0,44000,SA,floor,0.008579940874322128,15
0.03,2,44,1,44001,EA,standard,0.41375830789951573,3
0.03,2,44,1,44001,SA,standard,0.3622985930551515,3
0.03,2,44,1,44001,EA,floor,0.44690527497886007,4
0.03,2,44,1,44001,SA,floor,0.3893719387866935,7
0.03,2,44,2,44002,EA,standard,0.27751223880961984,1
0.03,2,44,2,44002,SA,standard,0.47292100917036684,12
0.03,2,44,2,44002,EA,floor,0.3078670638224724,5
0.03,2,44,2,44002,SA,floor,0.02992981371411502,11
0.03,3,45,0,45000,EA,standard,0.3234040945768854,3
0.03,3,45,0,45000,SA,standard,0.2815358327911388,2
0.03,3,45,0,45000,EA,floor,0.39622521706420916,5
0.03,3,45,0,45000,SA,floor,0.4222641836186765,5
0.03,3,45,1,45001,EA,standard,0.2960788178905086,3
0.03,3,45,1,45001,SA,standard,0.3828566266982555,6
0.03,3,45,1,45001,EA,floor,0.33005683215033016,4
0.03,3,45,1,45001,SA,floor,0.012590097754562418,12
0.03,3,45,2,45002,EA,standard,0.2685481891336047,2
0.03,3,45,2,45002,SA,standard,0.2510712953595422,2
0.03,3,45,2,45002,EA,floor,0.31621453496169466,3
0.03,3,45,2,45002,SA,floor,0.3446992320694528,13
0.03,4,46,0,46000,EA,standard,0.4196840655704064,4
0.03,4,46,0,46000,SA,standard,0.23625730779617865,2
0.03,4,46,0,46000,EA,floor,0.3356791283979381,5
0.03,4,46,0,46000,SA,floor,0.3469333537619009,9
0.03,4,46,1,46001,EA,standard,0.49241413215148216,4
0.03,4,46,1,46001,SA,standard,0.3057321821191619,3
0.03,4,46,1,46001,EA,floor,0.35769829401550507,4
0.03,4,46,1,46001,SA,floor,0.03651266168229578,2
0.03,4,46,2,46002,EA,standard,0.436475233766035,5
0.03,4,46,2,46002,SA,standard,0.2531957337752321,2
0.03,4,46,2,46002,EA,floor,0.44435171061676415,5
0.03,4,46,2,46002,SA,floor,0.050481067839332164,1
0.03,5,47,0,47000,EA,standard,0.31848315724360715,3
0.03,5,47,0,47000,SA,standard,0.2999532484760296,3
0.03,5,47,0,47000,EA,floor,0.32724395994546507,3
0.03,5,47,0,47000,SA,floor,0.08079824860929424,2
0.03,5,47,1,47001,EA,standard,0.471651068501641,5
0.03,5,47,1,47001,SA,standard,0.32112881655089187,3
0.03,5,47,1,47001,EA,floor,0.3330448441383232,5
0.03,5,47,1,47001,SA,floor,0.057871845761868074,9
0.03,5,47,2,47002,EA,standard,0.2724521146225812,3
0.03,5,47,2,47002,SA,standard,0.30901651073951464,3
0.03,5,47,2,47002,EA,floor,0.3079301122837622,8
0.03,5,47,2,47002,SA,floor,0.33531099590436686,5
0.03,6,48,0,48000,EA,standard,0.5973152720705706,6
0.03,6,48,0,48000,SA,standard,0.3460297701798813,4
0.03,6,48,0,48000,EA,floor,0.41908539303467895,7
0.03,6,48,0,48000,SA,floor,0.4422156367284649,8
0.03,6,48,1,48001,EA,standard,0.5282961953398814,4
0.03,6,48,1,48001,SA,standard,0.34378019178949626,4
0.03,6,48,1,48001,EA,floor,0.4152254678701951,5
0.03,6,48,1,48001,SA,floor,0.45171215037853846,9
0.03,6,48,2,48002,EA,standard,0.5453749425939708,5
0.03,6,48,2,48002,SA,standard,0.23693924359394278,3
0.03,6,48,2,48002,EA,floor,0.4231253384212522,6
0.03,6,48,2,48002,SA,floor,0.0008317851363453628,4
0.03,7,49,0,49000,EA,standard,0.4665262023947495,4
0.03,7,49,0,49000,SA,standard,0.22209458168862167,5
