beta,algorithm,fitness_variant,n_samples,mean_fidelity,std_fidelity,mean_gate_count,std_gate_count
0.03,EA,standard,60,0.4132542100039437,0.11508931125280832,3.2333333333333334,1.0703062905334881
0.03,EA,floor,60,0.4143120555318743,0.1094931997931128,5.35,2.234763223848707
0.03,SA,standard,60,0.32710874889294234,0.107051306357502,3.8333333333333335,2.3605554901806953
0.03,SA,floor,60,0.21964579442704416,0.20493236966573372,6.95,3.8489175967623246
0.05,EA,standard,60,0.37835595858051,0.12453463769227843,2.716666666666667,1.0660154261964923
0.05,EA,floor,60,0.41010350511968674,0.10649659622245358,4.983333333333333,2.383916012689112
0.05,SA,standard,60,0.30315476117214446,0.10217168591117838,2.6333333333333333,1.0640593133008245
0.05,SA,floor,60,0.21040564583001767,0.19372350753493883,6.8,3.7139377126351127
0.07,EA,standard,60,0.31934434878612755,0.1271713324329716,2.1333333333333333,1.024152766382481
0.07,EA,floor,60,0.3918750177529613,0.10155118538798937,4.633333333333334,2.4695928589321943
0.07,SA,standard,60,0.25913953958304065,0.10780581220558935,1.9833333333333334,1.1029002171043802
0.07,SA,floor,60,0.20606941367056697,0.18906594748643762,6.666666666666667,3.6817870057290865
0.1,EA,standard,60,0.2644844207289909,0.10999150992554145,1.5833333333333333,0.759202798262025
0.1,EA,floor,60,0.3752686078592896,0.08977298946709607,4.55,2.6547127904916565
0.1,SA,standard,60,0.23062995052710597,0.10818267040966423,1.4833333333333334,0.9572820320516253
0.1,SA,floor,60,0.19931015352140863,0.1824024129711011,6.5,3.6945906403822333
0.15,EA,standard,60,0.20683346054425245,0.09930788623502296,1.1666666666666667,0.4149966532662912
0.15,EA,floor,60,0.36281509200451073,0.08479979316536172,4.383333333333334,2.627366657997234
0.15,SA,standard,60,0.1940393993709644,0.09662658888939095,1.2166666666666666,0.7547994582816167
0.15,SA,floor,60,0.19541609401179005,0.17668778602807672,6.466666666666667,3.7079494183293398
