beta,target_idx,target_seed,repeat,repeat_seed,algorithm,fidelity,gate_count
0.01,0,42,0,42000,EA,0.2793136513000999,3
0.01,0,42,0,42000,SA,0.254592452629416,4
0.01,0,42,1,42001,EA,0.4177645129500618,5
0.01,0,42,1,42001,SA,0.32709280814619074,9
0.01,0,42,2,42002,EA,0.5121921493253826,5
0.01,0,42,2,42002,SA,0.37228189449880783,8
0.01,0,42,3,42003,EA,0.3705890944418128,3
0.01,0,42,3,42003,SA,0.37976801900848406,4
0.01,0,42,4,42004,EA,0.38133621126506906,5
0.01,0,42,4,42004,SA,0.29858395413980593,3
0.01,1,43,0,43000,EA,0.2968445025931073,2
0.01,1,43,0,43000,SA,0.4351740995614848,4
0.01,1,43,1,43001,EA,0.49788732327342705,9
0.01,1,43,1,43001,SA,0.2876487940726386,5
0.01,1,43,2,43002,EA,0.4607408832011698,6
0.01,1,43,2,43002,SA,0.36896397109905604,14
0.01,1,43,3,43003,EA,0.37623075335649336,7
0.01,1,43,3,43003,SA,0.42093713184876635,15
0.01,1,43,4,43004,EA,0.36494706497396057,3
0.01,1,43,4,43004,SA,0.45370206800483237,5
0.01,2,44,0,44000,EA,0.3836605478862941,3
0.01,2,44,0,44000,SA,0.3420202961596904,10
0.01,2,44,1,44001,EA,0.4423621756603538,4
0.01,2,44,1,44001,SA,0.3751787777474227,10
0.01,2,44,2,44002,EA,0.27751223880961984,1
0.01,2,44,2,44002,SA,0.5019280236785729,14
0.01,2,44,3,44003,EA,0.33888066217041574,3
0.01,2,44,3,44003,SA,0.31298307018560273,2
0.01,2,44,4,44004,EA,0.3862209959112819,3
0.01,2,44,4,44004,SA,0.3365613254623233,2
0.01,3,45,0,45000,EA,0.4544123650575747,7
0.01,3,45,0,45000,SA,0.365257319288004,5
0.01,3,45,1,45001,EA,0.4171411451983059,5
0.01,3,45,1,45001,SA,0.3485345327694126,7
0.01,3,45,2,45002,EA,0.3265695074512011,4
0.01,3,45,2,45002,SA,0.3430368376552228,5
0.01,3,45,3,45003,EA,0.3343480071280677,4
0.01,3,45,3,45003,SA,0.39084981746086805,6
0.01,3,45,4,45004,EA,0.3172416678293321,3
0.01,3,45,4,45004,SA,0.4480405822014313,9
0.01,4,46,0,46000,EA,0.4642080655265243,6
0.01,4,46,0,46000,SA,0.34324242407571354,14
0.01,4,46,1,46001,EA,0.5988537828675408,7
0.01,4,46,1,46001,SA,0.3240916508257825,4
0.01,4,46,2,46002,EA,0.450739735388543,4
0.01,4,46,2,46002,SA,0.4289518224444882,9
0.01,4,46,3,46003,EA,0.46291733553836456,5
0.01,4,46,3,46003,SA,0.43435944015974826,7
0.01,4,46,4,46004,EA,0.4835894567483903,5
0.01,4,46,4,46004,SA,0.3266899883922896,4
0.01,5,47,0,47000,EA,0.3299167682972159,3
0.01,5,47,0,47000,SA,0.33961639722325127,5
0.01,5,47,1,47001,EA,0.5253403141361472,7
0.01,5,47,1,47001,SA,0.2434743925224649,4
0.01,5,47,2,47002,EA,0.513357468905652,8
0.01,5,47,2,47002,SA,0.32882632820678653,4
0.01,5,47,3,47003,EA,0.4419596364736135,5
0.01,5,47,3,47003,SA,0.2788516867599343,5
0.01,5,47,4,47004,EA,0.5086505447791421,6
0.01,5,47,4,47004,SA,0.30620353600608385,10
0.01,6,48,0,48000,EA,0.6034911450586351,6
0.01,6,48,0,48000,SA,0.2963554112681999,3
0.01,6,48,1,48001,EA,0.6272718452887402,4
0.01,6,48,1,48001,SA,0.4589138188719589,8
0.01,6,48,2,48002,EA,0.6289279660335474,5
0.01,6,48,2,48002,SA,0.48631019085719535,7
0.01,6,48,3,48003,EA,0.6786630171725819,8
0.01,6,48,3,48003,SA,0.6112304460495871,9
0.01,6,48,4,48004,EA,0.6602309527678994,7
0.01,6,48,4,48004,SA,0.3979763266584071,4
0.01,7,49,0,49000,EA,0.5719779573204665,6
0.01,7,49,0,49000,SA,0.4229954728775836,5
0.01,7,49,1,49001,EA,0.5695304405370399,6
0.01,7,49,1,49001,SA,0.48161349418715665,12
0.01,7,49,2,49002,EA,0.5278480514006078,6
0.01,7,49,2,49002,SA,0.4753126214381843,7
0.01,7,49,3,49003,EA,0.546602653530094,6
0.01,7,49,3,49003,SA,0.3785749022623703,8
0.01,7,49,4,49004,EA,0.4958767344753003,5
0.01,7,49,4,49004,SA,0.2715132886196403,3
0.01,8,50,0,50000,EA,0.637974674792228,6
0.01,8,50,0,50000,SA,0.6180264394688196,9
0.01,8,50,1,50001,EA,0.6080203375608862,6
0.01,8,50,1,50001,SA,0.37964882331701627,5
0.01,8,50,2,50002,EA,0.4994220882611552,5
0.01,8,50,2,50002,SA,0.4991006932776945,5
0.01,8,50,3,50003,EA,0.5636024473373636,4
0.01,8,50,3,50003,SA,0.5562597642911051,7
0.01,8,50,4,50004,EA,0.5552769081417882,5
0.01,8,50,4,50004,SA,0.37850843152120467,3
0.01,9,51,0,51000,EA,0.4879942929347371,5
0.01,9,51,0,51000,SA,0.39821751403511674,4
0.01,9,51,1,51001,EA,0.5612160986159503,5
0.01,9,51,1,51001,SA,0.21035238681485638,5
0.01,9,51,2,51002,EA,0.5710701010201652,4
0.01,9,51,2,51002,SA,0.3936681878830034,5
0.01,9,51,3,51003,EA,0.5197402920088808,6
0.01,9,51,3,51003,SA,0.4444725714635321,8
0.01,9,51,4,51004,EA,0.5328989163964556,5
0.01,9,51,4,51004,SA,0.2048022422297183,7
0.01,10,52,0,52000,EA,0.5561000395202119,4
0.01,10,52,0,52000,SA,0.4871317125982842,7
0.01,10,52,1,52001,EA,0.536009069787206,7
0.01,10,52,1,52001,SA,0.5517455648460938,4
0.01,10,52,2,52002,EA,0.5719355838361008,5
0.01,10,52,2,52002,SA,0.3425690106797773,3
0.01,10,52,3,52003,EA,0.4066695643822557,2
0.01,10,52,3,52003,SA,0.32165651343718127,8
0.01,10,52,4,52004,EA,0.3516190110029415,3
0.01,10,52,4,52004,SA,0.5404728529587363,11
0.01,11,53,0,53000,EA,0.6649661406428746,6
0.01,11,53,0,53000,SA,0.6170262255013681,6
0.01,11,53,1,53001,EA,0.6772948655310549,5
0.01,11,53,1,53001,SA,0.6508387471500114,7
0.01,11,53,2,53002,EA,0.6606035712999455,4
0.01,11,53,2,53002,SA,0.5978423721632312,8
0.01,11,53,3,53003,EA,0.6522982155479113,5
0.01,11,53,3,53003,SA,0.5960946009381799,6
0.01,11,53,4,53004,EA,0.6689177580851234,5
0.01,11,53,4,53004,SA,0.4115579581212813,3
0.01,12,54,0,54000,EA,0.6432666189155191,5
0.01,12,54,0,54000,SA,0.5967278143884797,5
0.01,12,54,1,54001,EA,0.5794583787453026,5
0.01,12,54,1,54001,SA,0.366795115802798,4
0.01,12,54,2,54002,EA,0.6080237605027474,3
0.01,12,54,2,54002,SA,0.5530763243991732,6
0.01,12,54,3,54003,EA,0.6328486674264283,5
0.01,12,54,3,54003,SA,0.519131551108118,6
0.01,12,54,4,54004,EA,0.6571510844697258,6
0.01,12,54,4,54004,SA,0.4634950294898097,8
0.01,13,55,0,55000,EA,0.371012795720359,4
0.01,13,55,0,55000,SA,0.2187033588169697,3
0.01,13,55,1,55001,EA,0.37091365101107193,3
0.01,13,55,1,55001,SA,0.3288759150547378,14
0.01,13,55,2,55002,EA,0.4109260628632511,6
0.01,13,55,2,55002,SA,0.30099473898676626,4
0.01,13,55,3,55003,EA,0.3897275048038201,5
0.01,13,55,3,55003,SA,0.2826644495602901,10
0.01,13,55,4,55004,EA,0.37199310529910745,4
0.01,13,55,4,55004,SA,0.4219427024397279,9
0.01,14,56,0,56000,EA,0.5067165892377815,6
