beta,algorithm,n_samples,mean_fidelity,std_fidelity,mean_gate_count,std_gate_count
0.01,EA,100,0.4675245171224972,0.1138006419575975,4.85,1.3811227316933137
0.01,SA,100,0.37902342374302833,0.10533099870729258,6.36,3.0348640826238
0.02,EA,100,0.43065829485835666,0.11894994216940336,3.91,1.3935207210515386
0.02,SA,100,0.35085059484977527,0.10843507284718065,4.61,2.4244380792257822
0.03,EA,100,0.41461982729094254,0.12497089989536145,3.26,1.1010903686800644
0.03,SA,100,0.3371225992423307,0.11774863560415351,3.83,2.4250979361667024
0.05,EA,100,0.3772869859602412,0.12269578541131058,2.7,1.02469507659596
0.05,SA,100,0.3030539710293465,0.10831285468711194,2.65,1.3143439428094916
0.07,EA,100,0.3200745832895459,0.129449227810924,2.1,0.9949874371066201
0.07,SA,100,0.25821247688045906,0.11183684012707495,1.93,1.1853691408164801
